target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,144,347,300,1,330,14
clang-22704,70,331,266,2,305,21
clang-23309,112,4282,5435,4,3150,92
clang-23353,75,644,513,2,600,29
clang-25900,108,1987,2610,4,1643,64
clang-26760,110,1079,497,2,974,35
clang-27747,78,1147,1810,3,821,39
gcc-61917,100,1186,1896,2,964,34
gcc-65383,63,1613,1587,3,922,38
gcc-71626,46,355,119,2,351,23
