target,complex_data_type,function_inlining,loop_unrolling,redundant_data_type,unnecessary_variable
clang-22382,-33,0,0,-28,-11
clang-22704,0,-7,0,-24,0
clang-23309,0,-330,0,-22,-22
clang-23353,-11,0,0,-12,0
clang-25900,0,-113,0,-19,-8
clang-26760,0,-11,0,-16,0
clang-27137,0,-109,0,-16,-5
clang-27747,0,-6,0,-8,-14
clang-31259,0,-90,-48,-38,-20
gcc-59903,0,-116,0,-16,-14
gcc-60116,-33,-152,-8,-33,-11
gcc-61383,-13,-107,0,0,-10
gcc-61917,-22,-52,2,-4,-3
gcc-64990,-16,0,-3,-12,-48
gcc-65383,4,-56,0,-12,-26
gcc-66186,0,-211,0,-13,-15
gcc-66375,-47,-240,-15,-80,-6
gcc-70127,-13,-108,-16,-20,-48
gcc-70586,0,-38,-4,-24,0
gcc-71626,0,0,0,-4,-5
