target,complex_data_type,function_inlining,loop_unrolling,redundant_data_type,unnecessary_variable
clang-22382,-14,0,4,-24,-10
clang-22704,0,-7,68,-24,0
clang-23309,5,-142,0,0,-9
clang-23353,-5,0,0,-12,0
clang-25900,14,-9,0,-16,-6
clang-26760,0,3,0,-15,0
clang-27137,0,-75,0,-15,-5
clang-27747,1,-6,0,-8,1
clang-31259,8,-76,362,-36,-7
gcc-59903,23,-49,64,-5,-14
gcc-60116,-15,-69,-4,-31,-8
gcc-61383,-10,38,0,0,-8
gcc-61917,-4,-36,198,-3,-2
gcc-64990,4,0,4,3,-3
gcc-65383,15,-39,0,-11,-26
gcc-66186,0,68,0,-10,-15
gcc-66375,-15,-168,23,-58,-5
gcc-70127,22,-35,-13,-17,-39
gcc-70586,0,-20,80,-24,0
gcc-71626,2,0,0,-4,-5
