target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,103,1424,4690,8,1039,40
clang-22704,45,512,884,3,384,15
clang-23309,289,3383,15113,5,1006,25
clang-23353,59,447,1012,2,217,10
clang-25900,108,727,2744,3,368,15
clang-26760,80,1711,3091,6,708,30
clang-27137,91,4750,4414,4,432,20
clang-27747,98,806,2808,3,300,15
clang-31259,303,9812,10563,5,885,25
gcc-59903,304,651,2042,2,284,10
gcc-60116,324,4290,11421,4,679,20
gcc-61383,154,9701,6527,4,523,20
gcc-61917,80,625,1899,3,394,15
gcc-64990,198,2216,6077,5,853,25
gcc-65383,63,2948,4187,7,803,35
gcc-66186,98,11809,8519,7,1200,35
gcc-66375,99,14434,18303,10,1830,50
gcc-70127,116,17191,12128,8,1256,40
gcc-70586,79,1494,2036,3,406,15
gcc-71626,40,386,779,4,339,20
