target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,72,2035,2555,4,1841,70
clang-22704,48,420,566,2,371,20
clang-23309,84,3549,3170,3,2552,64
clang-23353,76,866,1050,2,760,31
clang-25900,117,1178,1653,2,976,37
clang-26760,78,2276,1493,4,1791,70
clang-27747,88,801,1138,2,595,26
gcc-61917,68,1079,1172,2,932,37
gcc-65383,63,1232,904,2,682,28
gcc-71626,42,430,355,3,416,32
