target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,75,1611,2071,3,1445,56
clang-22704,39,477,872,2,332,19
clang-23309,93,2927,2502,3,2205,56
clang-23353,64,914,798,2,832,31
clang-25900,79,1978,2613,6,1632,78
clang-26760,66,2368,1170,4,2079,73
clang-27747,88,935,1664,2,630,27
gcc-61917,80,1075,1167,2,918,30
gcc-65383,40,974,738,2,508,27
gcc-71626,51,199,171,1,192,12
