target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,116,359,1039,2,268,10
clang-22704,42,464,769,3,335,15
clang-23309,260,4418,18195,7,1499,35
clang-23353,59,671,1606,3,329,15
clang-25900,108,876,3003,4,483,20
clang-26760,65,1948,3699,6,662,30
clang-27137,84,3543,3190,4,436,20
clang-27747,93,899,3264,3,293,15
clang-31259,276,17574,18912,8,1288,40
gcc-59903,273,3374,12221,7,1007,35
gcc-60116,281,5675,15425,4,806,20
gcc-61383,154,9006,6003,4,685,20
gcc-61917,77,861,2437,4,557,20
gcc-64990,239,330,763,1,188,5
gcc-65383,63,1093,1251,3,358,15
gcc-66186,98,7794,6106,5,818,25
gcc-66375,440,11014,13680,7,781,30
gcc-70127,119,10466,8265,5,733,25
gcc-70586,99,2882,2413,3,493,15
gcc-71626,42,193,402,2,170,10
